link,number,comments,bName,salesRep,dealStatus
https://www.smylies.com/,"dsarefriendly.""",No Comments,Smylie Ltd,N/A,0
https://leverbrookexport.com/,"finitelyreturn!""",No Comments,Leverbrook Export Ltd,N/A,0
http://www.premierexports.co.uk/,"UKFMCGbrands.""",No Comments,Premier Exports London Ltd,N/A,0
https://www.carexportcompany.com/,+441518080013,No Comments,Car Export Company,N/A,0
http://www.ramsden-international.com/,+441472315610,No Comments,Ramsden International,N/A,0
https://www.carexporters.co.uk/,cesnotavailable,No Comments,UK Car Exporters,N/A,0
http://www.amivetexports.co.uk/,+441606278707,No Comments,Amivet Exports,N/A,0
https://www.export.org.uk/,+441733404400,No Comments,The Institute of Export and International Trade,N/A,0
https://www.export.org.uk/,+441733404400,No Comments,The Institute of Export and International Trade,N/A,0
https://brexport.uk/,entionsexporters,No Comments,Brexport,N/A,0
http://www.gov.uk/government/organisations/export-control-organisation,+442072154594,No Comments,Export Control Joint Unit,N/A,0
https://www.exportaglobal.co.uk/,+448002944394,No Comments,Exporta,N/A,0
http://oilseeds.co.uk/,+441414164708,No Comments,Oilseeds Tradind LP,N/A,0
http://www.omniamachinery.com/,+441642033773,No Comments,Omnia Machinery,N/A,0
http://www.muirhead.co.uk/,+441415506400,No Comments,Muirhead,N/A,0
https://www.nextdaycoffee.co.uk/,epickupDelivery,No Comments,NextDayCoffee,N/A,0
http://ukcustomsacademy.co.uk/,+441733404400,No Comments,The Customs Academy,N/A,0
http://ukflourmillers.org/,+442074932521,No Comments,UK Flour Millers,N/A,0
https://www.trade.gov/united-kingdom,+442078940419,No Comments,U.S. Commercial Service United Kingdom,N/A,0
http://www.valmet.com/,+441254819050,No Comments,Valmet Ltd,N/A,0
